user_id,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,ROI,date,time
445,Tablet,USA,18-24,Female,A4632,Text,Electronics,Travel Lovers,0.1016211120482387,0.0578,Shared,60,0.74,0.79,2025-06-12,12:05:55
821,Desktop,UK,55+,Male,A8130,Image,Health,Young Adults,0.0313738171876618,0.1455,Liked,21,0.7,0.65,2025-06-15,07:12:41
860,Tablet,Canada,35-44,Female,A2295,Image,Fashion,Travel Lovers,0.1448433490657889,0.0603,Shared,16,0.12,7.28,2025-02-08,08:21:58
950,Tablet,UK,25-34,Female,A7968,Text,Automotive,Family Oriented,0.0375909599911832,0.0749,Commented,49,0.97,0.29,2025-05-05,11:12:01
945,Mobile,USA,25-34,Male,A2938,Image,Fashion,Fitness Lovers,0.0991294884307476,0.0831,Ignored,32,0.37,2.23,2025-03-12,06:36:32
456,Desktop,USA,25-34,Female,A7739,Text,Fashion,Young Adults,0.025016506512885,0.0951,Liked,41,1.45,0.16,2025-11-14,22:24:24
139,Mobile,Canada,55+,Male,A7129,Image,Health,Travel Lovers,0.0706486667715945,0.0687,Shared,44,0.38,1.28,2025-07-19,00:29:59
763,Tablet,India,55+,Female,A2797,Image,Health,Fitness Lovers,0.0415100420435041,0.0151,Ignored,13,1.22,0.05,2025-08-21,20:50:08
327,Desktop,USA,45-54,Male,A7625,Image,Fashion,Young Adults,0.0399266762561268,0.0386,Ignored,57,0.73,0.21,2025-12-07,10:13:39
754,Desktop,India,25-34,Female,A9933,Image,Travel,Family Oriented,0.0700303268095319,0.087,Liked,50,0.62,0.98,2025-11-24,20:58:10
440,Mobile,Germany,45-54,Male,A4559,Image,Health,Tech Enthusiasts,0.0953895380604325,0.1294,Liked,48,0.43,2.87,2025-03-24,06:39:40
656,Desktop,Canada,18-24,Female,A2109,Video,Fashion,Young Adults,0.0503926293259128,0.1436,Liked,56,0.16,4.52,2025-06-05,08:11:37
772,Mobile,Canada,55+,Male,A7168,Image,Electronics,Fitness Lovers,0.0743215662065149,0.0571,Shared,42,1.23,0.35,2025-10-11,00:11:09
989,Tablet,India,18-24,Female,A7213,Text,Automotive,Tech Enthusiasts,0.065197979289637,0.1387,Shared,21,0.41,2.21,2025-01-09,15:27:05
678,Tablet,UK,35-44,Male,A4562,Video,Fashion,Family Oriented,0.1192168705080813,0.0418,Shared,51,1.17,0.43,2025-12-14,19:17:17
858,Desktop,Germany,25-34,Male,A9097,Text,Health,Fitness Lovers,0.0623548034785709,0.0218,Liked,40,0.85,0.16,2025-12-10,05:19:42
552,Desktop,Germany,45-54,Male,A8996,Text,Fashion,Tech Enthusiasts,0.0700361169722352,0.0185,Ignored,47,0.26,0.5,2025-12-26,01:38:56
260,Desktop,Canada,35-44,Male,A5128,Text,Travel,Travel Lovers,0.0510685777419979,0.052,Ignored,16,1.46,0.18,2025-10-28,20:50:19
910,Desktop,USA,55+,Male,A9235,Text,Electronics,Young Adults,0.0904034830723639,0.1314,Shared,14,0.45,2.64,2025-12-25,18:19:25
980,Tablet,India,18-24,Female,A1459,Text,Health,Family Oriented,0.0679811019952962,0.0385,Commented,58,1.36,0.19,2025-10-13,12:00:41
560,Tablet,Germany,25-34,Male,A4001,Image,Automotive,Travel Lovers,0.0597246576737512,0.0454,Shared,47,0.7,0.39,2025-06-04,21:23:26
707,Desktop,India,45-54,Female,A4503,Image,Fashion,Tech Enthusiasts,0.0679057647446701,0.0502,Shared,26,1.09,0.31,2025-10-14,23:33:21
262,Desktop,Germany,35-44,Female,A9752,Text,Electronics,Young Adults,0.0661921018805856,0.0773,Liked,48,1.19,0.43,2025-07-20,12:46:21
311,Mobile,Germany,25-34,Female,A5788,Text,Health,Travel Lovers,0.0102806553037994,0.1073,Commented,60,1.07,0.1,2025-08-15,23:57:49
268,Desktop,UK,18-24,Female,A1680,Text,Health,Fitness Lovers,0.0557325970682999,0.0853,Ignored,12,0.57,0.83,2025-08-05,18:16:35
283,Tablet,UK,25-34,Female,A6339,Video,Health,Tech Enthusiasts,0.0571904087812167,0.1456,Commented,43,0.31,2.69,2025-02-04,05:31:10
400,Desktop,UK,55+,Female,A4473,Image,Electronics,Family Oriented,0.044489666871486,0.1217,Shared,17,0.33,1.64,2025-03-03,04:03:32
329,Mobile,UK,35-44,Male,A8525,Image,Health,Family Oriented,0.10092255324009,0.0461,Commented,19,0.94,0.49,2025-12-12,23:40:05
748,Mobile,USA,45-54,Male,A7970,Text,Travel,Young Adults,0.0557914943452112,0.0874,Commented,52,0.37,1.32,2025-11-11,01:45:17
562,Desktop,Germany,18-24,Female,A2537,Image,Automotive,Tech Enthusiasts,0.0617432603094842,0.1241,Liked,33,0.26,2.95,2025-05-29,09:37:52
231,Tablet,UK,35-44,Female,A8957,Text,Automotive,Family Oriented,0.0452714443123447,0.1148,Shared,30,0.41,1.27,2025-05-02,13:40:28
406,Desktop,Germany,18-24,Female,A6358,Text,Electronics,Family Oriented,0.1216716862220606,0.0902,Ignored,42,0.4,2.74,2025-07-28,14:09:06
451,Mobile,USA,45-54,Female,A5802,Image,Electronics,Family Oriented,0.0764490204453944,0.0759,Commented,56,0.94,0.62,2025-02-20,22:55:11
244,Desktop,UK,45-54,Female,A7590,Image,Travel,Travel Lovers,0.0915796428485405,0.0594,Ignored,27,1.13,0.48,2025-05-12,15:21:27
686,Desktop,USA,25-34,Male,A6648,Video,Electronics,Family Oriented,0.0437710003976582,0.0512,Liked,52,1.07,0.21,2025-12-07,04:19:12
882,Mobile,Canada,35-44,Male,A5902,Text,Health,Family Oriented,0.0414823203220691,0.1311,Liked,41,0.79,0.69,2025-02-12,20:04:31
463,Desktop,Canada,25-34,Female,A8339,Image,Automotive,Tech Enthusiasts,0.0241219956600999,0.1278,Shared,41,1.03,0.3,2025-06-15,10:02:24
784,Desktop,Canada,35-44,Male,A6580,Image,Travel,Family Oriented,0.0546900892359117,0.041,Shared,49,1.34,0.17,2025-01-19,07:27:27
790,Desktop,Germany,55+,Male,A1404,Image,Travel,Family Oriented,0.0467319582523594,0.0908,Ignored,46,0.65,0.65,2025-06-06,05:20:50
292,Mobile,India,25-34,Female,A9976,Image,Electronics,Family Oriented,0.0967989088921937,0.1412,Shared,32,1.15,1.19,2025-12-14,21:29:38
504,Tablet,USA,55+,Male,A5519,Image,Fashion,Family Oriented,0.1292269910420535,0.0925,Liked,12,1.43,0.84,2025-11-18,13:25:41
927,Tablet,UK,35-44,Female,A5619,Video,Health,Family Oriented,0.142813100674306,0.0453,Liked,13,0.88,0.74,2025-08-28,02:14:47
129,Mobile,Canada,55+,Female,A4493,Video,Automotive,Fitness Lovers,0.1166093073947572,0.1248,Ignored,53,0.21,6.93,2025-05-29,19:40:29
508,Desktop,UK,25-34,Female,A1075,Image,Automotive,Travel Lovers,0.013925758805978,0.0656,Liked,16,0.82,0.11,2025-09-03,05:19:13
802,Desktop,India,35-44,Female,A9863,Video,Fashion,Young Adults,0.1166772961095626,0.0431,Liked,23,0.91,0.55,2025-07-02,13:31:20
617,Desktop,India,35-44,Female,A3093,Text,Travel,Family Oriented,0.0300110394148014,0.1108,Shared,47,0.27,1.23,2025-11-16,22:29:39
480,Tablet,Germany,35-44,Male,A9560,Text,Fashion,Young Adults,0.1434258868755582,0.1401,Ignored,51,0.25,8.04,2025-03-14,20:32:30
325,Mobile,USA,45-54,Male,A1175,Text,Travel,Young Adults,0.0263489493437827,0.1155,Commented,36,1.13,0.27,2025-06-03,10:40:04
678,Desktop,Germany,25-34,Male,A9301,Text,Travel,Tech Enthusiasts,0.0578118716108513,0.0932,Shared,11,0.43,1.25,2025-02-07,09:17:49
618,Desktop,Germany,25-34,Male,A9759,Text,Health,Fitness Lovers,0.1339858171151352,0.0793,Shared,52,1.46,0.73,2025-12-18,11:57:39
913,Tablet,Canada,25-34,Male,A2150,Image,Health,Young Adults,0.1202473452439073,0.0122,Shared,28,1.08,0.14,2025-09-05,12:07:01
294,Tablet,USA,45-54,Female,A7951,Text,Fashion,Family Oriented,0.0343085260331081,0.0581,Ignored,33,0.48,0.42,2025-11-10,07:36:21
209,Mobile,UK,35-44,Female,A4295,Image,Travel,Tech Enthusiasts,0.1397113574523678,0.1394,Liked,25,0.65,3.0,2025-10-11,19:16:08
832,Mobile,Germany,45-54,Female,A6389,Text,Fashion,Young Adults,0.0184919328755501,0.0433,Shared,13,0.53,0.15,2025-12-01,19:17:04
222,Tablet,Canada,18-24,Male,A1622,Image,Travel,Young Adults,0.0742085751168462,0.065,Ignored,54,0.59,0.82,2025-10-08,21:15:37
216,Tablet,India,25-34,Male,A1545,Text,Automotive,Family Oriented,0.0857575131122359,0.1297,Ignored,28,0.54,2.06,2025-02-05,11:54:22
199,Mobile,Germany,55+,Male,A7371,Video,Automotive,Travel Lovers,0.1468900423184969,0.0999,Commented,53,0.66,2.22,2025-09-29,16:35:50
359,Mobile,India,18-24,Male,A8563,Image,Electronics,Travel Lovers,0.0922967530946645,0.0884,Ignored,58,0.64,1.27,2025-05-09,02:26:57
668,Mobile,Canada,25-34,Male,A8620,Image,Fashion,Travel Lovers,0.1329700718613114,0.0805,Ignored,43,0.25,4.28,2025-03-22,10:15:16
954,Tablet,USA,55+,Female,A9020,Text,Travel,Young Adults,0.1074911741722425,0.0142,Liked,17,0.46,0.33,2025-07-15,10:18:55
346,Desktop,USA,55+,Female,A4409,Video,Automotive,Family Oriented,0.1210640746978014,0.0538,Ignored,45,1.24,0.53,2025-01-12,20:57:00
496,Mobile,USA,45-54,Male,A9140,Image,Electronics,Travel Lovers,0.0991689575761592,0.046,Shared,42,1.33,0.34,2025-09-19,05:36:51
644,Mobile,Germany,25-34,Female,A3606,Video,Fashion,Tech Enthusiasts,0.0780837284733477,0.0482,Shared,37,0.18,2.09,2025-04-17,05:02:52
751,Desktop,USA,45-54,Male,A7914,Text,Travel,Family Oriented,0.1057257793540308,0.0642,Liked,13,0.95,0.71,2025-09-12,02:20:01
587,Desktop,USA,25-34,Female,A5251,Text,Travel,Family Oriented,0.089120869404058,0.0748,Shared,43,0.48,1.39,2025-02-09,00:14:10
285,Desktop,USA,25-34,Female,A2721,Text,Electronics,Young Adults,0.1123192472141379,0.0108,Liked,28,0.97,0.13,2025-04-22,02:25:44
649,Mobile,Canada,45-54,Female,A6703,Text,Electronics,Fitness Lovers,0.1366083882180836,0.0748,Shared,10,0.49,2.09,2025-05-06,08:13:16
651,Tablet,India,35-44,Male,A6419,Video,Fashion,Travel Lovers,0.123496163790359,0.0194,Ignored,27,1.19,0.2,2025-01-12,01:51:56
582,Mobile,Canada,45-54,Male,A9747,Video,Travel,Travel Lovers,0.1222866372250519,0.0918,Liked,18,0.94,1.19,2025-01-04,13:38:09
720,Desktop,Germany,55+,Male,A9042,Text,Health,Travel Lovers,0.0293799813613512,0.0585,Ignored,35,0.17,1.01,2025-07-05,01:57:35
972,Desktop,India,18-24,Male,A5257,Video,Automotive,Family Oriented,0.0322545514830639,0.0469,Liked,23,1.41,0.11,2025-07-16,13:17:50
619,Mobile,UK,18-24,Female,A9724,Video,Fashion,Travel Lovers,0.0990807974638001,0.1495,Ignored,50,0.74,2.0,2025-09-07,04:09:39
236,Mobile,UK,18-24,Male,A4705,Video,Fashion,Tech Enthusiasts,0.0973290999507155,0.0657,Commented,54,0.35,1.83,2025-03-08,07:20:52
554,Desktop,UK,55+,Male,A7039,Text,Health,Family Oriented,0.0791893435025739,0.0969,Ignored,15,1.43,0.54,2025-02-28,14:29:56
670,Tablet,UK,45-54,Female,A6525,Image,Fashion,Tech Enthusiasts,0.1138070826655656,0.0539,Shared,15,0.31,1.98,2025-11-03,04:21:37
973,Tablet,Germany,45-54,Male,A7073,Text,Automotive,Young Adults,0.0451672055417966,0.0825,Ignored,60,1.01,0.37,2025-03-14,16:05:08
963,Mobile,India,45-54,Female,A2131,Video,Fashion,Young Adults,0.1047472685152825,0.0416,Liked,31,1.16,0.38,2025-09-09,16:38:13
134,Desktop,India,55+,Female,A9460,Image,Travel,Family Oriented,0.1165279760852072,0.0373,Ignored,20,0.41,1.06,2025-12-01,19:19:57
204,Tablet,UK,25-34,Female,A3233,Image,Fashion,Fitness Lovers,0.147712431310261,0.1066,Liked,37,0.91,1.73,2025-07-11,03:54:46
567,Mobile,USA,25-34,Male,A2803,Text,Travel,Travel Lovers,0.0765335874461034,0.1413,Liked,42,1.14,0.95,2025-11-27,09:36:50
597,Tablet,India,18-24,Male,A7926,Image,Travel,Fitness Lovers,0.0846365595974453,0.0853,Ignored,11,1.45,0.5,2025-02-27,09:19:36
843,Tablet,Canada,45-54,Male,A9044,Video,Health,Tech Enthusiasts,0.0694963048436903,0.1317,Shared,13,0.7,1.31,2025-03-28,21:40:18
325,Tablet,UK,55+,Male,A2452,Text,Electronics,Travel Lovers,0.0551289522324875,0.1428,Ignored,53,1.18,0.67,2025-07-02,21:10:24
951,Mobile,Canada,25-34,Male,A1250,Video,Fashion,Young Adults,0.1457968891406208,0.0439,Shared,57,1.37,0.47,2025-03-20,17:36:15
890,Tablet,USA,25-34,Male,A5864,Image,Automotive,Travel Lovers,0.0452221294147134,0.0803,Shared,49,0.7,0.52,2025-08-14,06:30:30
228,Mobile,Canada,25-34,Male,A1722,Image,Electronics,Travel Lovers,0.0156082110301128,0.0974,Ignored,12,0.25,0.61,2025-10-22,12:21:48
659,Desktop,USA,55+,Female,A8938,Image,Travel,Fitness Lovers,0.0833418748360709,0.1324,Shared,20,0.58,1.9,2025-04-15,10:17:58
412,Desktop,UK,35-44,Male,A3026,Text,Travel,Family Oriented,0.0679817030888097,0.0607,Liked,42,0.98,0.42,2025-02-22,19:27:51
986,Desktop,Germany,25-34,Female,A7841,Image,Automotive,Young Adults,0.0436427994123556,0.1037,Ignored,28,1.33,0.34,2025-04-26,10:08:39
618,Tablet,USA,45-54,Male,A8476,Text,Travel,Travel Lovers,0.0258144906381157,0.0565,Shared,30,0.98,0.15,2025-04-08,12:45:26
926,Desktop,Germany,35-44,Male,A4093,Image,Electronics,Family Oriented,0.0564248130332354,0.0302,Liked,14,1.39,0.12,2025-12-21,03:48:55
528,Desktop,USA,45-54,Female,A3623,Video,Travel,Travel Lovers,0.0123228775781474,0.0567,Liked,51,0.61,0.11,2025-01-25,18:43:54
799,Desktop,USA,45-54,Female,A7922,Video,Health,Family Oriented,0.0677335701112351,0.0446,Shared,27,1.46,0.21,2025-08-29,02:05:37
894,Desktop,USA,55+,Female,A8094,Video,Health,Young Adults,0.0408957043899819,0.1084,Ignored,23,1.5,0.3,2025-12-20,08:54:19
912,Tablet,Canada,35-44,Male,A5562,Image,Health,Fitness Lovers,0.1364841778914137,0.1259,Commented,17,0.89,1.93,2025-01-16,16:29:36
607,Tablet,USA,35-44,Female,A2631,Image,Fashion,Family Oriented,0.1373153429205112,0.0479,Ignored,51,0.57,1.15,2025-08-22,11:10:34
162,Desktop,USA,55+,Female,A1931,Image,Health,Travel Lovers,0.0656211555506578,0.1138,Liked,56,1.49,0.5,2025-03-01,02:08:38
395,Tablet,UK,35-44,Female,A3124,Video,Fashion,Tech Enthusiasts,0.1488706751275913,0.0638,Ignored,25,0.94,1.01,2025-05-17,08:46:06
355,Desktop,Canada,18-24,Female,A9821,Video,Travel,Tech Enthusiasts,0.1226902108418874,0.0796,Commented,57,0.74,1.32,2025-11-21,11:08:36
751,Tablet,UK,35-44,Female,A6797,Text,Electronics,Family Oriented,0.1497642046629253,0.1255,Commented,55,0.64,2.94,2025-11-18,02:36:49
340,Tablet,UK,55+,Female,A2742,Video,Fashion,Travel Lovers,0.1362590249804099,0.1018,Ignored,14,0.46,3.02,2025-07-10,03:34:24
866,Tablet,Canada,18-24,Male,A1835,Video,Fashion,Fitness Lovers,0.064941862064662,0.0981,Shared,47,0.82,0.78,2025-11-05,22:48:40
938,Mobile,Canada,45-54,Female,A9833,Text,Health,Fitness Lovers,0.0486318888847351,0.0849,Shared,51,1.0,0.41,2025-06-17,18:34:27
824,Tablet,USA,55+,Male,A3278,Text,Health,Young Adults,0.0955062801542799,0.063,Liked,34,0.52,1.16,2025-04-26,02:29:24
411,Desktop,Canada,45-54,Male,A9691,Image,Fashion,Young Adults,0.144725695337623,0.084,Commented,30,0.16,7.6,2025-11-11,05:02:12
163,Mobile,USA,25-34,Male,A4976,Image,Travel,Young Adults,0.0750935446026775,0.0772,Ignored,47,0.81,0.72,2025-01-15,13:52:11
615,Tablet,India,25-34,Female,A5213,Video,Electronics,Family Oriented,0.0593434489061713,0.1084,Liked,56,1.46,0.44,2025-02-07,10:08:29
465,Desktop,UK,35-44,Male,A6992,Image,Automotive,Travel Lovers,0.1400709208567472,0.0985,Shared,53,1.06,1.3,2025-04-28,10:49:22
278,Mobile,Canada,45-54,Female,A9246,Image,Fashion,Young Adults,0.0973861435397503,0.084,Shared,39,0.84,0.97,2025-12-26,12:45:52
508,Mobile,Germany,18-24,Male,A8390,Video,Fashion,Family Oriented,0.0716443309631641,0.1036,Commented,53,0.94,0.79,2025-03-31,19:02:04
868,Mobile,UK,55+,Male,A5308,Video,Fashion,Fitness Lovers,0.0314299688667142,0.0488,Ignored,18,0.42,0.37,2025-04-12,22:58:42
648,Desktop,Canada,18-24,Male,A5408,Image,Health,Travel Lovers,0.0725247024213305,0.1361,Liked,15,1.14,0.87,2025-08-12,15:43:30
166,Mobile,USA,35-44,Female,A2102,Video,Electronics,Young Adults,0.023599442307206,0.0792,Ignored,34,1.44,0.13,2025-09-28,04:53:54
231,Tablet,Canada,18-24,Female,A3517,Image,Travel,Young Adults,0.0357726536349487,0.082,Shared,22,0.41,0.72,2025-04-18,21:21:34
727,Mobile,USA,18-24,Male,A8269,Video,Health,Tech Enthusiasts,0.0396193349255557,0.0532,Liked,16,1.24,0.17,2025-12-14,07:51:37
584,Desktop,USA,55+,Female,A5944,Video,Automotive,Young Adults,0.010971397757088,0.1462,Commented,17,0.49,0.33,2025-09-02,21:16:10
341,Mobile,Canada,18-24,Female,A6763,Video,Automotive,Young Adults,0.1348507241052893,0.067,Ignored,45,1.27,0.71,2025-06-18,09:50:38
621,Desktop,USA,18-24,Female,A4231,Text,Fashion,Fitness Lovers,0.0981680794029434,0.0857,Commented,13,1.2,0.7,2025-08-06,12:42:49
617,Desktop,India,55+,Male,A3334,Video,Electronics,Young Adults,0.0834111678974657,0.0262,Ignored,37,0.98,0.22,2025-04-26,23:45:47
899,Tablet,USA,25-34,Male,A2598,Video,Fashion,Fitness Lovers,0.0166355093794128,0.0357,Commented,41,0.83,0.07,2025-11-17,18:49:22
798,Desktop,Canada,55+,Female,A8262,Video,Fashion,Tech Enthusiasts,0.0141032414078521,0.0142,Liked,53,0.66,0.03,2025-06-21,21:34:15
623,Mobile,Germany,25-34,Male,A3813,Text,Travel,Family Oriented,0.0989470697376359,0.1145,Ignored,52,0.2,5.66,2025-01-14,17:42:33
898,Desktop,UK,45-54,Female,A5005,Image,Electronics,Young Adults,0.0135192540224897,0.1019,Ignored,59,0.95,0.15,2025-11-16,05:50:09
118,Desktop,India,55+,Female,A8949,Text,Automotive,Young Adults,0.083711975001967,0.1155,Shared,30,0.68,1.42,2025-08-21,05:53:32
721,Mobile,UK,45-54,Female,A6723,Video,Electronics,Fitness Lovers,0.0795389501109284,0.0662,Liked,12,0.29,1.82,2025-03-16,12:39:26
309,Tablet,India,18-24,Female,A1341,Text,Automotive,Young Adults,0.1137951779697736,0.0266,Commented,23,0.39,0.78,2025-11-28,23:11:09
798,Mobile,India,35-44,Female,A3389,Image,Fashion,Tech Enthusiasts,0.0408668228279428,0.0445,Shared,13,0.15,1.21,2025-01-21,22:26:52
731,Tablet,USA,35-44,Male,A2151,Text,Electronics,Travel Lovers,0.0438603970068181,0.0611,Liked,17,1.17,0.23,2025-11-20,02:41:04
246,Tablet,USA,45-54,Male,A4417,Video,Electronics,Fitness Lovers,0.1378456807613413,0.0161,Commented,50,0.27,0.82,2025-06-21,04:00:04
893,Tablet,USA,45-54,Female,A1314,Text,Automotive,Travel Lovers,0.120515535457137,0.1183,Ignored,16,1.29,1.11,2025-11-11,05:08:11
189,Mobile,USA,35-44,Male,A7184,Video,Health,Young Adults,0.0784092628084749,0.0975,Liked,27,0.35,2.18,2025-07-27,08:38:49
186,Mobile,India,18-24,Male,A7861,Text,Fashion,Tech Enthusiasts,0.0187137424645581,0.0469,Ignored,21,0.57,0.15,2025-01-12,04:08:04
164,Desktop,UK,18-24,Female,A1177,Video,Health,Family Oriented,0.0105968498717412,0.017,Ignored,23,0.79,0.02,2025-12-03,17:16:20
615,Desktop,Canada,25-34,Female,A1336,Text,Fashion,Tech Enthusiasts,0.0929067022783869,0.1089,Ignored,54,1.28,0.79,2025-02-18,02:35:57
976,Desktop,UK,45-54,Male,A4604,Text,Health,Family Oriented,0.1341401356997089,0.0749,Ignored,31,0.99,1.01,2025-04-03,09:17:08
583,Mobile,Canada,55+,Female,A1504,Video,Health,Fitness Lovers,0.0807628638918086,0.0184,Commented,17,1.1,0.14,2025-04-25,21:11:33
215,Tablet,USA,55+,Male,A8862,Video,Electronics,Tech Enthusiasts,0.0523195892362774,0.0903,Ignored,35,0.12,3.94,2025-02-04,21:57:38
352,Tablet,Canada,45-54,Female,A2492,Video,Fashion,Travel Lovers,0.0897660698015637,0.068,Commented,33,0.19,3.21,2025-07-16,12:08:29
422,Mobile,UK,25-34,Male,A9093,Text,Automotive,Tech Enthusiasts,0.093574623451369,0.0732,Commented,39,1.45,0.47,2025-07-17,00:34:57
407,Tablet,USA,25-34,Female,A2390,Image,Electronics,Travel Lovers,0.1249066029288638,0.0765,Ignored,14,0.49,1.95,2025-04-23,22:28:41
355,Tablet,Germany,45-54,Male,A7394,Video,Travel,Travel Lovers,0.063649132784293,0.0446,Liked,58,0.77,0.37,2025-08-19,19:43:35
270,Mobile,India,18-24,Male,A1479,Text,Fashion,Family Oriented,0.0177759861757389,0.0737,Ignored,20,1.49,0.09,2025-06-25,21:07:58
181,Mobile,Germany,55+,Female,A3946,Text,Health,Travel Lovers,0.1061006330699879,0.1155,Ignored,12,1.03,1.19,2025-11-23,04:09:55
954,Mobile,India,55+,Female,A7800,Video,Travel,Tech Enthusiasts,0.0627957279050578,0.0635,Ignored,28,0.61,0.65,2025-03-18,09:33:20
836,Tablet,Canada,25-34,Female,A4231,Video,Automotive,Family Oriented,0.1387883111194582,0.1265,Liked,11,1.44,1.22,2025-01-15,08:05:24
589,Tablet,Germany,25-34,Male,A1850,Text,Electronics,Young Adults,0.139096297341575,0.0657,Shared,35,0.25,3.66,2025-12-06,06:06:45
556,Tablet,Canada,35-44,Male,A7008,Text,Travel,Fitness Lovers,0.0611098969216978,0.0901,Shared,51,0.91,0.61,2025-07-12,08:33:34
499,Desktop,Germany,25-34,Male,A8454,Image,Automotive,Young Adults,0.0888151153874506,0.0982,Commented,52,0.25,3.49,2025-10-09,01:22:25
